Municipio;cd_geocmu;TT17_Dominant
Palestina do Pará - PA;1505494;4
Palmas - TO;1721000;7
Palmeirândia - MA;2107605;1
Palmeirante - TO;1715705;7
Palmeiras do Tocantins - TO;1713809;2
Palmeirópolis - TO;1715754;4
Paragominas - PA;1505502;7
Paraibano - MA;2107704;1
Paraíso do Tocantins - TO;1716109;4
Paranã - TO;1716208;4
Paranaíta - MT;5106299;4
Paranatinga - MT;5106307;7
Parauapebas - PA;1505536;4
Parecis - RO;1101450;4
Parintins - AM;1303403;1
Pastos Bons - MA;2108009;4
Pau D'Arco - PA;1505551;4
Pau D'Arco - TO;1716307;4
Pauini - AM;1303502;1
Paulo Ramos - MA;2108108;4
Pedra Branca do Amapari - AP;1600154;2
Pedra Preta - MT;5106372;4
Pedreiras - MA;2108207;1
Pedro Afonso - TO;1716505;7
Pedro do Rosário - MA;2108256;1
Peixe - TO;1716604;7
Peixe-Boi - PA;1505601;7
Peixoto de Azevedo - MT;5106422;7
Penalva - MA;2108306;3
Pequizeiro - TO;1716653;4
Peri Mirim - MA;2108405;1
Peritoró - MA;2108454;5
Piçarra - PA;1505635;4
Pimenta Bueno - RO;1100189;4
Pimenteiras do Oeste - RO;1101468;7
Pindaré-Mirim - MA;2108504;7
Pindorama do Tocantins - TO;1717008;4
Pinheiro - MA;2108603;3
Pio XII - MA;2108702;2
Pirapemas - MA;2108801;5
Piraquê - TO;1717206;4
Pium - TO;1717503;7
Placas - PA;1505650;3
Plácido de Castro - AC;1200385;4
Planalto da Serra - MT;5106455;7
Poção de Pedras - MA;2108900;3
Poconé - MT;5106505;4
Ponta de Pedras - PA;1505700;2
Pontal do Araguaia - MT;5106653;4
Ponte Alta do Bom Jesus - TO;1717800;2
Ponte Alta do Tocantins - TO;1717909;4
Ponte Branca - MT;5106703;7
Pontes e Lacerda - MT;5106752;4
Portel - PA;1505809;1
Porto Acre - AC;1200807;4
Porto Alegre do Norte - MT;5106778;4
Porto Alegre do Tocantins - TO;1718006;2
Porto de Moz - PA;1505908;4
Porto dos Gaúchos - MT;5106802;7
Porto Esperidião - MT;5106828;4
Porto Estrela - MT;5106851;4
Porto Franco - MA;2109007;7
Porto Grande - AP;1600535;2
Porto Nacional - TO;1718204;7
Porto Rico do Maranhão - MA;2109056;1
Porto Velho - RO;1100205;4
Porto Walter - AC;1200393;1
Poxoréu - MT;5107008;4
Pracuúba - AP;1600550;2
Praia Norte - TO;1718303;2
Prainha - PA;1506005;1
Presidente Dutra - MA;2109106;3
Presidente Figueiredo - AM;1303536;4
Presidente Juscelino - MA;2109205;1
Presidente Kennedy - TO;1718402;4
Presidente Médici - MA;2109239;3
